timestamp,position_lat,position_long,distance,enhanced_altitude,altitude,enhanced_speed,speed,heart_rate,temperature,cadence,fractional_cadence,unknown_136,unknown_87,unknown_88
2021-01-30 10:58:14,51.85923549346626,7.5039108004421,0.046490000000000004,139.79999999999995,,4.2336,,103,29,53,0.5,103,0,300
2021-01-30 10:58:15,51.85923038050532,7.503936784341931,0.04834,140.0,,4.7376000000000005,,103,29,53,0.5,103,0,300
2021-01-30 10:58:19,51.8592041451484,7.504029320552945,0.055380000000000006,140.20000000000005,,5.274,,105,29,55,0.5,105,0,300
2021-01-30 10:58:23,51.85916676186025,7.504074666649103,0.060590000000000005,140.60000000000002,,5.1732000000000005,,108,29,54,0.0,108,0,300
2021-01-30 10:58:26,51.859133234247565,7.504100818186998,0.06472,141.0,,5.1732000000000005,,108,29,55,0.5,108,0,300
2021-01-30 10:58:29,51.85910071246326,7.5041252095252275,0.06871,141.20000000000005,,5.1732000000000005,,108,29,56,0.5,108,0,300
2021-01-30 10:58:31,51.859078500419855,7.504144487902522,0.07151,141.39999999999998,,5.1732000000000005,,108,29,56,0.0,108,0,300
2021-01-30 10:58:38,51.859007673338056,7.504216739907861,0.08084000000000001,141.79999999999995,,5.3064,,109,29,57,0.0,109,0,300
2021-01-30 10:58:40,51.85896668583155,7.504251524806023,0.08594,142.0,,5.3424000000000005,,109,28,57,0.5,109,0,300
2021-01-30 10:58:41,51.85895352624357,7.504262086004019,0.08756,142.0,,5.3748000000000005,,109,28,58,0.0,109,0,300
2021-01-30 10:58:45,51.858896696940064,7.504290165379643,0.09412000000000001,142.39999999999998,,5.508,,105,28,59,0.0,105,0,300
2021-01-30 10:58:46,51.85888655483723,7.504300056025386,0.09542,142.39999999999998,,5.508,,103,28,59,0.0,103,0,300
2021-01-30 10:58:48,51.858863504603505,7.504313299432397,0.09811,142.39999999999998,,5.5440000000000005,,100,28,59,0.0,100,0,300
2021-01-30 10:58:50,51.858836598694324,7.5043184123933315,0.10112,142.60000000000002,,5.5764,,99,28,59,0.0,99,0,300
2021-01-30 10:58:54,51.858773650601506,7.504334002733231,0.10809,142.79999999999995,,5.6088000000000005,,98,28,61,0.5,98,0,300
2021-01-30 10:58:56,51.85874213464558,7.504335679113865,0.11148000000000001,143.0,,5.6772,,97,28,61,0.5,97,0,300
2021-01-30 10:59:03,51.858648508787155,7.5043528620153666,0.12197,143.39999999999998,,5.7456000000000005,,96,27,61,0.0,96,0,300
2021-01-30 10:59:05,51.85861799865961,7.504360992461443,0.12539,143.39999999999998,,5.7456000000000005,,96,27,61,0.0,96,0,300
2021-01-30 10:59:11,51.85851347632706,7.5043705478310585,0.13662,143.79999999999995,,5.7096,,97,27,61,0.0,97,0,300
2021-01-30 10:59:17,51.85842496342957,7.504371050745249,0.14631,144.0,,5.7096,,99,27,61,0.0,99,0,300
2021-01-30 10:59:18,51.85841121710837,7.504375409334898,0.14787,144.0,,5.7096,,99,27,61,0.0,99,0,300
2021-01-30 10:59:23,51.85834147967398,7.504374571144581,0.15558000000000002,144.39999999999998,,5.7096,,101,27,60,0.0,101,0,300
2021-01-30 10:59:31,,,,,,,,,,,,,,
2021-01-30 10:59:31,51.858247267082334,7.504396112635732,0.16622,144.79999999999995,,5.7096,,103,26,61,0.0,103,0,300
2021-01-30 10:59:33,51.85821667313576,7.504399046301842,0.16959,144.79999999999995,,5.7096,,103,26,61,0.5,103,0,300
2021-01-30 10:59:37,51.858165711164474,7.504398208111525,0.1752,145.0,,5.7456000000000005,,103,26,61,0.5,103,0,300
2021-01-30 10:59:39,51.85813729651272,7.504408098757267,0.17843,145.20000000000005,,5.7456000000000005,,103,26,61,0.5,103,0,300
2021-01-30 10:59:42,,,,,,,,,,,,,,
2021-01-30 10:59:48,51.85800117440522,7.504419581964612,0.19361,145.39999999999998,,5.8104000000000005,,103,26,0,0.0,103,0,300
2021-01-30 10:59:52,51.857944931834936,7.504436681047082,0.19998,145.60000000000002,,5.846400000000001,,106,26,0,0.0,106,0,100
2021-01-30 10:59:55,51.857907213270664,7.504442883655429,0.20419,145.60000000000002,,5.846400000000001,,104,26,60,0.0,104,0,100
